,target,f1,f2,f3,f4,f5,f6,f7,f8,f9
0,1,1,3,0,3,0,1,1,1,1
1,0,1,3,0,3,0,1,1,1,1
2,1,1,3,0,3,0,1,1,1,1
3,1,2,1,0,0,0,1,0,1,1
4,0,1,0,0,3,0,0,0,0,0
5,0,1,0,0,3,0,0,0,0,0
6,1,0,0,0,0,0,2,2,1,1
7,1,0,0,0,0,0,2,2,1,1
8,0,2,4,0,3,0,2,0,1,1
9,0,2,4,0,3,0,2,0,1,1
10,0,2,4,0,3,0,2,0,1,1
11,1,2,4,0,3,0,2,0,1,1
12,0,2,4,0,3,0,2,0,1,1
13,0,0,1,0,2,0,2,0,1,1
14,0,1,3,0,1,0,1,2,0,0
15,0,1,3,0,1,0,1,2,2,0
16,0,0,3,0,2,0,1,1,2,0
17,0,0,3,0,2,0,1,1,2,0
18,0,0,3,0,2,0,1,1,2,0
19,0,1,0,1,1,0,1,0,2,0
20,0,0,3,1,2,0,2,0,0,0
21,1,0,3,1,2,0,2,0,0,0
22,0,2,1,1,0,0,0,2,3,0
23,0,1,0,1,1,0,1,1,2,1
24,0,0,0,1,1,2,1,1,1,0
25,1,0,0,1,1,2,1,1,1,0
26,0,0,0,1,1,2,1,1,1,0
27,0,0,0,1,1,2,1,1,0,1
28,1,0,0,1,1,2,1,1,0,1
29,1,0,0,1,1,2,1,1,0,1
30,1,2,3,1,1,2,1,0,2,1
31,0,0,4,0,2,0,1,0,1,0
32,0,0,4,0,2,0,1,0,1,0
33,0,0,4,0,2,0,1,0,1,0
34,1,0,4,0,2,0,1,0,1,0
35,0,0,4,0,2,0,1,0,1,0
36,1,0,4,0,2,0,1,0,1,0
37,1,3,4,0,3,0,0,1,4,0
38,0,3,4,0,3,0,0,1,4,0
39,0,1,0,0,3,0,0,0,4,0
40,0,0,3,0,3,0,0,0,1,0
41,0,0,3,0,3,0,0,0,1,0
42,0,1,4,0,3,0,1,0,3,0
43,0,1,4,0,3,0,1,0,3,0
44,0,1,3,0,0,0,2,0,2,0
45,1,1,3,0,0,0,2,0,2,0
46,1,1,3,0,0,0,2,0,2,0
47,1,0,1,0,2,0,1,0,3,0
48,1,0,1,0,2,0,1,0,3,0
49,1,1,2,0,1,2,0,0,2,0
50,1,1,2,0,1,2,0,0,2,0
51,0,1,2,0,1,2,0,0,2,0
52,1,1,2,0,1,2,0,0,2,0
53,0,1,0,1,1,0,2,1,2,0
54,0,1,0,1,1,0,2,1,2,0
55,0,0,1,1,0,0,1,1,0,0
56,0,0,1,1,0,0,1,1,0,0
57,1,0,1,1,0,0,1,1,0,0
58,1,0,0,0,0,0,0,1,1,0
59,0,0,1,0,1,0,0,0,0,0
60,0,0,1,0,1,0,0,0,0,0
61,0,0,1,0,1,0,0,0,0,0
62,1,2,3,0,1,2,1,1,1,0
63,0,2,3,0,1,2,1,1,1,0
64,0,2,3,0,1,2,1,1,1,0
65,0,1,0,1,0,0,0,1,3,0
66,0,1,0,1,0,0,0,1,3,0
67,0,1,0,1,0,0,0,1,3,0
68,1,0,1,1,2,0,1,0,0,0
69,1,0,1,1,2,0,1,0,0,0
70,1,0,1,1,2,0,1,0,0,0
71,1,2,1,0,1,2,1,0,2,1
72,0,2,1,0,1,2,1,0,2,1
73,0,2,1,0,1,2,1,0,2,1
74,0,3,3,0,0,2,0,0,0,1
75,0,2,0,0,2,2,0,0,2,0
76,1,2,0,0,2,2,0,0,2,0
77,1,1,2,0,2,2,0,0,3,0
78,1,1,2,0,2,2,0,0,3,0
79,0,1,2,0,2,2,0,0,3,0
80,1,1,2,0,2,2,0,0,3,0
81,0,2,2,0,1,0,1,3,3,0
82,0,2,2,0,1,0,1,3,3,0
83,1,2,2,0,1,0,1,3,3,0
84,1,2,2,0,2,1,1,1,1,0
85,0,2,2,0,2,1,1,1,1,0
86,1,2,2,0,2,1,1,1,1,0
87,1,2,2,0,2,1,1,1,1,0
88,0,1,2,0,3,1,0,1,1,1
89,0,0,1,1,1,1,0,0,1,0
90,0,0,1,1,1,1,0,0,1,0
91,0,0,1,1,1,1,0,0,1,0
92,1,1,1,1,1,0,0,1,3,0
93,1,1,1,1,1,0,0,1,3,0
94,0,1,1,1,1,0,0,1,3,0
95,0,1,1,1,1,0,0,1,3,0
96,0,3,1,1,1,0,0,0,3,0
97,0,3,1,1,1,0,0,0,3,0
98,0,3,1,1,1,0,0,0,3,0
99,0,2,1,1,4,0,0,3,1,0
100,0,0,4,0,0,2,0,3,1,0
101,0,0,4,0,0,2,0,3,1,0
102,0,0,4,0,0,2,0,3,1,0
103,1,1,0,0,0,1,1,2,3,0
104,0,1,0,0,0,1,1,2,3,0
105,1,1,0,0,0,1,1,2,3,0
106,1,2,1,0,0,1,2,0,1,0
107,0,2,1,0,0,1,2,0,1,0
108,0,2,1,0,0,0,1,1,3,0
109,1,2,1,0,0,0,1,1,3,0
110,0,2,4,0,3,2,0,1,1,0
111,0,2,4,0,3,2,0,1,1,0
112,0,2,4,0,3,2,0,1,1,0
113,0,0,1,0,3,0,0,0,2,0
114,0,1,0,1,2,0,1,1,1,0
115,0,1,0,1,2,0,1,1,1,0
116,0,1,0,1,2,0,1,1,1,0
117,0,1,0,1,2,0,1,1,1,0
118,0,1,0,1,2,0,1,1,1,0
119,1,0,1,0,2,0,1,1,1,0
120,0,0,1,0,2,0,1,1,1,0
121,1,1,1,0,3,0,0,1,2,1
122,1,1,1,0,3,0,0,1,2,1
123,0,2,3,1,3,0,1,3,2,0
124,1,2,3,1,3,0,1,3,2,0
125,1,0,1,0,2,0,0,1,3,1
126,0,0,1,0,2,0,0,1,3,1
127,0,0,1,0,2,0,0,1,3,1
128,0,0,0,0,1,0,0,3,4,0
129,1,0,0,0,1,0,0,3,4,0
130,0,0,0,0,1,0,0,3,4,0
131,1,2,1,1,0,0,1,0,3,0
132,0,2,4,1,3,0,1,3,1,0
133,0,2,4,1,3,0,1,3,1,0
134,0,0,0,1,0,0,1,0,2,0
135,0,1,0,1,3,0,0,0,2,0
136,0,1,0,1,3,0,0,0,2,0
137,0,1,0,1,3,0,0,0,2,0
138,0,0,1,1,1,0,1,0,3,1
139,0,0,1,1,1,0,1,1,4,0
140,0,1,3,2,2,0,2,0,2,0
141,0,1,3,2,2,0,2,1,1,0
142,1,1,4,1,3,0,3,1,1,0
143,1,1,4,1,3,0,3,1,1,0
144,0,1,3,1,0,0,1,1,2,1
145,1,1,3,1,0,0,1,1,2,1
146,0,0,0,0,3,0,1,1,4,1
147,0,0,0,0,3,0,1,1,4,1
148,1,2,1,0,0,0,1,3,0,0
149,0,2,1,1,1,0,1,0,3,0
150,1,2,1,1,1,0,1,0,3,0
151,0,2,1,1,1,0,1,0,3,0
152,0,1,0,1,2,0,0,1,3,0
153,1,1,0,1,2,0,0,1,3,0
154,0,1,0,1,2,0,0,1,3,0
155,1,1,0,1,1,0,1,1,1,0
156,0,1,0,1,1,0,1,1,1,0
157,1,0,0,0,4,2,1,0,3,0
158,0,0,0,0,4,2,1,0,3,0
159,0,0,3,0,1,2,0,0,0,0
160,0,0,3,0,1,2,0,0,0,0
161,0,0,3,0,1,2,0,0,0,0
162,0,1,3,0,2,2,0,0,3,1
163,0,1,3,0,2,2,0,0,3,1
164,0,0,1,0,1,2,1,0,1,1
165,0,0,1,0,1,2,1,0,1,1
166,0,0,1,0,1,2,1,0,1,1
167,0,0,4,1,1,0,2,0,2,0
168,0,0,4,1,1,0,2,0,2,0
169,0,1,3,1,2,0,0,0,1,0
170,0,1,3,1,2,0,0,0,1,0
171,0,0,3,0,3,0,1,1,1,0
172,1,0,3,0,3,0,1,1,1,0
173,0,0,3,0,3,0,0,0,2,0
174,0,2,0,0,0,0,1,1,1,0
175,1,1,0,0,0,2,0,1,0,0
176,0,1,0,0,0,2,0,1,0,0
177,0,0,0,0,0,0,0,2,1,1
178,0,1,0,0,3,2,1,1,1,1
179,1,1,0,0,3,2,1,1,1,1
180,1,1,0,0,1,2,1,0,2,1
181,0,1,0,0,1,2,1,0,2,1
182,0,1,0,0,1,2,1,0,2,1
183,1,1,0,0,1,2,1,0,2,1
184,0,2,1,0,2,0,1,0,2,0
185,0,0,1,0,0,2,0,0,2,0
186,0,0,1,0,0,2,0,0,2,0
187,0,0,1,0,0,2,0,0,2,0
188,0,0,1,0,2,0,1,1,2,1
189,1,0,1,0,2,0,1,1,2,1
190,1,2,1,0,2,0,1,1,4,1
191,0,1,1,0,0,1,0,0,1,0
192,1,1,1,0,0,1,0,0,1,0
193,1,1,1,0,0,1,0,0,1,0
194,0,1,1,0,0,1,0,0,1,0
195,0,2,2,0,3,0,1,0,1,0
196,0,2,2,0,3,0,1,0,1,0
197,1,2,2,0,3,0,1,0,1,0
198,1,2,0,0,3,0,1,1,1,0
199,1,2,0,0,3,0,1,1,1,0
200,0,1,1,0,1,0,0,0,1,1
201,1,1,1,0,1,0,0,0,1,1
202,1,1,1,0,1,0,0,0,1,1
203,1,1,1,0,1,0,0,0,1,1
204,0,1,1,0,2,2,0,1,2,1
205,1,1,1,0,2,2,0,1,2,1
206,0,1,1,0,2,2,0,1,2,1
207,1,0,2,0,1,2,1,1,1,1
208,0,0,2,0,1,2,1,1,1,1
209,0,0,2,0,1,2,1,1,1,1
210,0,1,1,0,1,0,1,1,1,0
211,0,1,1,0,1,0,1,1,1,0
212,1,1,1,0,1,0,1,1,1,0
213,1,1,1,0,1,0,1,1,1,0
214,1,2,1,0,1,2,2,1,3,1
215,1,2,3,0,1,0,0,0,3,0
216,0,2,3,0,1,0,0,0,3,0
217,1,2,3,0,1,0,0,0,3,0
218,1,2,3,0,1,0,0,0,3,0
219,0,1,0,1,3,0,0,0,2,0
220,1,1,0,1,3,0,0,0,2,0
221,0,1,1,1,0,0,1,0,0,0
222,0,1,1,1,0,0,1,0,0,0
223,0,0,0,0,0,0,0,0,0,0
224,0,1,1,0,0,2,1,1,0,1
225,1,1,1,0,0,2,1,1,0,1
226,0,0,1,0,3,0,1,1,1,0
227,0,0,1,0,3,0,1,1,1,0
228,0,0,2,0,3,2,1,1,0,1
229,0,0,2,0,3,2,1,1,0,1
230,0,1,3,1,1,1,1,0,1,0
231,1,1,3,1,1,1,1,0,1,0
232,0,1,3,1,1,1,1,0,1,0
233,1,1,3,1,1,1,1,0,1,0
234,0,1,1,0,1,2,1,3,2,1
235,1,1,1,0,1,2,1,3,2,1
236,1,0,0,0,0,2,1,3,2,1
237,0,0,1,0,0,2,1,2,3,1
238,0,0,1,0,0,2,1,2,3,1
239,0,0,1,0,0,2,1,2,3,1
240,1,1,1,0,1,2,1,1,0,0
241,1,2,1,0,2,0,1,1,0,1
242,0,2,1,0,2,0,1,1,0,1
243,0,2,1,0,2,0,1,1,0,1
244,0,2,1,0,2,0,1,1,0,1
245,0,1,3,0,1,0,0,0,2,0
246,0,1,3,0,1,0,0,0,2,0
247,0,1,3,0,1,0,0,0,2,0
248,1,2,0,1,2,1,1,1,1,1
249,1,1,0,0,0,0,1,2,0,1
250,1,0,1,0,3,0,0,0,0,0
251,0,0,1,0,3,0,0,0,0,0
252,0,1,1,0,3,0,2,1,3,1
253,1,1,1,0,0,0,1,2,1,1
254,0,1,1,0,0,0,1,2,1,1
255,0,1,0,0,0,0,1,0,4,0
256,0,0,0,0,2,0,0,0,0,0
257,1,3,1,0,2,0,1,1,4,0
258,1,2,1,0,1,0,1,1,4,0
259,0,1,1,0,2,0,0,1,2,0
260,0,1,1,0,3,0,0,1,0,0
261,0,1,1,0,3,0,0,1,0,0
262,0,1,1,1,0,0,0,2,0,0
263,0,1,1,1,0,0,0,2,0,0
264,0,1,1,1,0,0,0,2,0,0
265,0,1,3,1,3,0,0,2,0,0
266,0,1,0,0,2,0,1,1,1,0
267,1,1,0,0,2,0,1,1,1,0
268,1,1,0,0,2,0,1,1,1,0
269,1,1,0,0,2,0,1,1,1,0
270,1,1,0,0,2,0,1,1,1,0
271,0,1,0,0,2,0,1,1,1,0
272,1,1,1,0,0,2,1,0,2,0
273,0,1,0,0,1,2,0,0,3,0
274,0,1,0,0,1,2,0,0,3,0
275,1,1,0,0,1,2,0,0,3,0
276,0,2,0,0,1,0,3,1,1,0
277,0,2,0,0,1,0,3,1,1,0
278,0,2,0,0,1,0,3,1,1,0
279,0,2,0,0,1,0,3,1,1,0
280,0,0,1,0,1,0,2,2,1,1
281,0,0,1,0,1,0,2,2,1,1
282,0,1,1,0,0,1,1,2,0,1
283,0,1,1,0,0,1,1,2,0,1
284,0,1,1,0,0,1,1,2,0,1
285,1,1,1,0,0,1,1,2,0,1
286,1,2,1,0,3,0,1,1,2,1
287,0,2,1,0,3,0,1,1,2,1
288,0,2,1,0,3,0,1,1,2,1
289,0,3,1,0,0,0,1,1,3,1
290,0,3,1,0,0,0,1,1,3,1
291,1,3,1,0,0,0,1,1,3,1
292,0,3,1,0,0,0,1,1,3,1
293,0,2,1,0,0,0,1,1,0,1
294,0,2,1,0,0,0,1,1,0,1
295,0,1,1,0,2,1,1,1,2,0
296,1,1,1,0,0,1,0,1,2,1
297,0,1,1,0,0,1,0,1,2,1
298,1,1,0,0,1,1,0,3,0,0
299,0,1,0,0,1,1,0,3,0,0
300,1,1,0,0,1,0,1,2,1,1
301,0,2,0,1,1,2,2,0,2,1
302,1,2,0,1,1,2,2,0,2,1
303,0,1,0,0,2,1,1,1,1,1
304,0,1,0,0,2,1,1,1,1,1
305,0,0,3,0,3,1,1,0,2,0
306,0,1,1,0,3,1,0,1,1,0
307,0,1,1,0,3,1,0,1,1,0
308,0,1,1,0,3,1,0,1,1,0
309,0,0,1,0,0,0,0,2,2,0
310,1,0,1,0,0,0,0,2,2,0
311,0,2,0,0,0,2,1,1,1,1
312,0,2,0,0,0,2,1,1,1,1
313,1,2,0,0,0,2,1,1,1,1
314,1,2,0,0,0,2,1,1,1,1
315,0,1,1,0,1,0,1,0,2,0
316,0,1,1,0,1,0,1,0,2,0
317,0,1,1,0,1,0,1,0,2,0
318,0,0,4,1,1,0,0,0,1,0
319,0,0,4,1,1,0,0,0,1,0
320,0,0,0,1,2,0,0,1,1,0
321,0,0,0,1,2,0,0,1,1,0
322,0,1,3,0,1,0,1,1,1,0
323,0,1,0,1,3,0,1,2,2,0
324,0,1,0,1,3,0,1,2,2,0
325,1,1,0,1,3,0,1,2,2,0
326,1,1,0,1,3,0,1,2,2,0
327,1,1,1,1,4,0,0,2,1,0
328,0,2,1,0,3,2,1,3,3,0
329,0,2,1,0,3,2,1,3,3,0
330,0,2,1,0,3,2,1,3,3,0
331,0,1,0,0,2,0,0,0,2,0
332,0,1,1,0,1,2,1,1,4,0
333,0,2,3,0,1,0,1,1,3,0
334,1,0,0,0,0,0,0,1,2,0
335,0,0,0,0,0,0,0,1,2,0
336,0,3,4,0,3,0,1,0,3,0
337,0,3,1,1,0,0,0,0,3,0
338,0,3,1,1,0,0,0,0,3,0
339,1,3,1,1,0,0,0,0,3,0
340,0,2,1,0,3,0,1,1,2,0
341,0,2,1,0,3,0,1,1,2,0
342,1,0,1,0,3,2,1,0,1,0
343,0,0,1,0,3,2,1,0,1,0
344,0,0,1,1,4,1,2,2,2,0
345,0,0,1,1,4,1,2,2,2,0
346,0,0,1,1,4,1,2,2,2,0
347,1,1,1,1,1,1,1,3,3,1
348,0,1,1,1,1,1,1,3,3,1
349,0,1,1,1,1,1,1,3,3,1
350,1,0,1,1,4,1,0,3,1,0
351,0,0,2,0,0,0,1,0,2,0
352,0,0,2,0,0,0,1,0,2,0
353,0,0,2,0,0,0,1,0,2,0
354,1,1,3,1,2,2,1,3,1,1
355,0,1,3,1,2,2,1,3,1,1
356,0,1,3,1,2,2,1,3,1,1
357,1,1,3,1,2,2,1,3,1,1
358,1,2,3,1,2,0,0,3,3,1
359,0,1,3,1,0,2,0,0,0,1
360,0,1,3,1,0,2,0,0,0,1
361,0,1,4,1,1,0,0,2,3,0
362,0,1,0,0,0,2,1,1,3,1
363,1,1,0,0,0,2,1,1,3,1
364,0,3,1,0,0,0,1,1,2,0
365,1,3,1,0,0,0,1,1,2,0
366,0,3,1,0,0,0,1,1,2,0
367,1,1,0,1,1,0,1,1,1,0
368,0,1,0,1,1,0,1,1,1,0
369,0,1,0,0,0,0,2,1,3,0
370,0,0,1,0,1,2,1,0,1,1
371,0,0,1,0,1,2,1,0,1,1
372,1,2,1,0,2,2,1,1,2,1
373,1,1,1,1,2,0,2,0,2,0
374,0,1,1,1,2,0,2,0,2,0
375,1,1,1,1,2,0,2,0,2,0
376,1,1,2,0,2,0,0,1,2,0
377,0,2,4,0,0,0,2,0,1,1
378,1,2,1,0,2,2,1,1,2,0
379,0,2,1,0,2,2,1,1,2,0
380,0,2,1,0,2,2,1,1,2,0
381,0,2,1,0,2,2,1,1,2,0
382,0,2,1,0,2,2,1,1,2,0
383,0,2,1,0,0,1,1,1,0,1
384,0,1,1,1,1,1,0,1,0,1
385,0,1,1,1,1,1,0,1,0,1
386,1,1,3,0,2,1,1,0,1,0
387,0,1,3,0,2,1,1,0,1,0
388,0,1,3,0,2,1,1,0,1,0
389,0,1,4,0,3,0,0,0,2,0
390,0,1,4,0,3,0,0,0,2,0
391,0,1,0,0,3,0,1,3,3,0
392,0,0,2,0,0,0,0,2,2,0
393,0,0,2,0,0,0,0,2,2,0
394,0,0,2,0,0,0,0,2,2,0
395,0,2,0,0,2,0,0,3,2,0
396,1,1,0,0,0,0,1,0,2,1
397,1,1,0,0,0,0,1,0,2,1
398,0,0,1,0,1,0,1,0,2,1
399,0,1,1,0,2,0,2,1,1,0
400,0,1,1,0,2,0,2,1,1,0
401,1,1,1,0,2,0,2,1,1,0
402,0,0,1,0,3,0,2,0,3,0
403,0,0,1,0,3,2,0,1,1,0
404,0,2,0,0,3,0,1,1,2,0
405,1,1,1,0,3,2,0,1,1,1
406,0,1,1,0,3,2,0,1,1,1
407,0,0,0,0,1,0,0,0,1,0
408,0,0,0,0,1,0,1,3,3,0
409,1,1,1,0,1,0,1,3,4,0
410,1,1,1,0,1,0,1,3,4,0
411,1,1,1,0,1,0,1,3,4,0
412,0,0,1,1,2,0,0,3,4,0
413,0,0,1,1,2,0,0,3,4,0
414,0,0,1,1,2,0,0,3,4,0
415,1,0,1,1,2,0,0,3,4,0
416,1,2,2,0,0,1,0,0,2,1
417,0,0,2,0,0,0,0,0,0,1
418,0,0,2,0,0,0,0,0,0,1
419,1,0,2,0,0,0,0,0,0,1
420,0,0,2,0,0,0,0,0,0,1
421,0,0,2,0,0,0,0,0,0,1
422,1,0,1,0,0,2,1,1,0,0
423,0,2,0,0,2,0,2,3,3,0
424,0,2,0,0,2,0,2,3,3,0
425,1,2,0,0,2,0,2,3,3,0
426,0,2,0,0,2,0,2,3,3,0
427,0,0,1,0,2,0,1,0,3,0
428,1,0,1,0,2,0,1,0,3,0
429,0,1,2,0,2,0,1,0,3,1
430,0,1,2,0,2,0,1,0,3,1
431,1,1,1,1,1,0,2,2,0,0
432,0,1,1,1,1,0,2,2,0,0
433,0,1,1,1,1,0,2,2,0,0
434,0,1,1,1,1,0,2,2,0,0
435,1,1,1,1,1,0,2,2,0,0
436,1,2,0,1,1,0,1,1,0,0
437,0,2,0,1,1,0,1,1,0,0
438,1,2,0,1,1,0,1,1,0,0
439,1,0,1,1,1,0,1,3,1,0
440,1,2,1,0,0,0,0,0,1,1
441,1,2,1,0,0,1,0,3,2,0
442,0,2,1,0,0,1,0,3,2,0
443,0,2,1,0,0,1,0,3,2,0
444,0,1,2,0,0,0,1,3,0,0
445,0,1,1,1,2,0,1,0,0,0
446,1,1,1,1,2,0,1,0,0,0
447,1,1,1,1,2,0,1,0,0,0
448,0,1,1,1,2,0,1,0,0,0
449,0,0,1,0,1,0,0,0,0,0
450,0,0,1,0,1,0,1,2,2,1
451,1,0,1,0,1,0,1,2,2,1
452,0,0,1,0,1,0,1,2,2,1
453,0,1,4,0,0,1,0,1,0,0
454,0,1,4,0,0,1,0,1,0,0
455,1,1,4,0,0,1,0,1,0,0
456,0,1,4,0,0,1,0,1,0,0
457,0,1,4,0,2,2,0,0,4,0
458,1,1,1,0,0,2,0,3,4,0
459,1,2,2,0,2,2,1,3,0,0
460,1,2,2,0,2,2,1,3,0,0
461,0,2,2,0,2,2,1,3,0,0
462,0,2,2,0,2,2,1,3,0,0
463,0,0,3,1,2,2,0,2,1,0
464,1,0,3,1,2,2,0,2,1,0
465,1,0,1,0,1,2,0,1,1,1
466,1,0,1,0,1,2,0,1,1,1
467,1,1,4,0,1,0,0,3,2,0
468,1,1,4,0,1,0,0,3,2,0
469,0,1,0,0,0,0,1,3,1,0
470,1,2,0,0,3,2,0,1,0,1
471,0,2,0,0,1,0,2,1,2,1
472,0,2,1,0,2,0,2,1,2,1
473,0,2,1,0,2,0,2,1,2,1
474,1,2,1,0,2,0,2,1,2,1
475,0,1,2,0,0,0,0,0,3,0
476,0,1,2,0,0,0,0,0,3,0
477,1,1,2,0,3,0,0,0,0,0
478,0,1,1,0,0,0,0,0,2,0
479,1,0,3,0,1,0,0,0,2,0
480,1,0,3,0,1,0,0,0,2,0
481,0,1,2,0,1,0,1,1,1,0
482,1,1,2,0,1,0,1,1,1,0
483,1,1,2,0,1,0,1,1,1,0
484,0,1,1,0,1,0,0,1,1,1
485,1,1,1,0,1,0,0,1,1,1
486,0,1,0,0,2,0,0,1,2,1
487,0,2,1,0,3,0,0,1,4,0
488,1,2,1,0,3,0,0,1,4,0
489,0,0,0,0,3,0,0,0,3,1
490,0,0,0,0,3,0,0,0,3,1
491,1,0,0,0,3,0,0,0,3,1
